,greek_id,greek_word,gloss,sent_id,gorgias
62,101678762,ἐξαπατηθῆτε,be deceived,3,
63,101678763,ὡς,that,3,
64,101678764,δεινοῦ,dangerous,3,
65,101678765,ὄντος,being,3,
66,101678766,λέγειν,to say,3,
67,101678767,.,.,3,
68,101678768,τὸ,the,4,
69,101678769,γὰρ,for,4,
70,101678770,μὴ,not,4,
71,101678771,αἰσχυνθῆναι,to be ashamed,4,
72,101678772,ὅτι,that,4,
73,101678773,αὐτίκα,immediately,4,
74,101678774,ὑπ’,by,4,
75,101678775,ἐμοῦ,by me,4,
76,101678776,ἐξελεγχθήσονται,they will be refuted,4,
77,101678777,ἔργῳ,in deed,4,
78,101678778,",",",",4,
79,101678779,ἐπειδὰν,when,4,
80,101678780,μη,not,4,
81,101678781,-δ’,and,4,
82,101678782,ὁπωστιοῦν,at all,4,
83,101678783,φαίνωμαι,I seem,4,
84,101678784,δεινὸς,clever,4,
85,101678785,λέγειν,to speak,4,
86,101678786,",",",",4,
87,101678787,τοῦτό,this,4,
88,101678788,μοι,to me,4,
89,101678789,ἔδοξεν,it seemed,4,
90,101678790,αὐτῶν,of them,4,
91,101678791,ἀναισχυντότατον,most shameless,4,
92,101678792,εἶναι,to be,4,
93,101678793,",",",",4,
94,101678794,εἰ,if,4,
95,101678795,μὴ,not,4,
96,101678796,ἄρα,then,4,
97,101678797,δεινὸν,clever,4,
98,101678798,καλοῦσιν,call,4,
99,101678799,οὗτοι,these,4,
100,101678800,λέγειν,to speak,4,
101,101678801,τὸν,the,4,
102,101678802,τα-,the,4,
103,101678803,τἀληθῆ,truth,4,
104,101678804,λέγοντα,speaking,4,
105,101678805,.,.,4,
106,101678806,εἰ,if,5,
107,101678807,μὲν,indeed,5,
108,101678808,γὰρ,for,5,
109,101678809,τοῦτο,this,5,
110,101678810,λέγουσιν,they say,5,
111,101678811,",",",",5,
112,101678812,ὁμολογοίην,I should admit,5,
113,101678813,ἂν,would,5,
114,101678814,ἔγωγε,I indeed,5,
115,101678815,οὐ,not,5,
116,101678816,κατὰ,against,5,
117,101678817,τούτους,these,5,
118,101678818,εἶναι,to be,5,
119,101678819,ῥήτωρ,orator,5,
120,101678820,.,.,5,
121,101678821,οὗτοι,these,6,
122,101678822,μὲν,indeed,6,
123,101678823,οὖν,then,6,
124,101678824,",",",",6,
125,101678825,ὥσπερ,just as,6,
126,101678826,ἐγὼ,I,6,
127,101678827,λέγω,say,6,
128,101678828,",",",",6,
129,101678829,ἤ,or,6,
130,101678830,τι,something,6,
131,101678831,ἢ,or,6,
132,101678832,οὐδὲν,nothing,6,
133,101678833,ἀληθὲς,true,6,
134,101678834,εἰρήκασιν,have said,6,
135,101678835,",",",",6,
136,101678836,ὑμεῖς,you,6,
137,101678837,δέ,but,6,
138,101678838,μου,me,6,
139,101678839,ἀκούσεσθε,you will hear,6,
140,101678840,πᾶσαν,the whole,6,
141,101678841,τὴν,the,6,
142,101678842,ἀλήθειαν,truth,6,
143,101678843,—,—,6,
144,101678844,οὐ,not,6,
145,101678845,μέντοι,however,6,
146,101678846,μὰ,by,6,
147,101678847,Δία,by Zeus,6,
148,101678848,",",",",6,
149,101678849,ὦ,O,6,
150,101678850,ἄνδρες,men,6,
151,101678851,Ἀθηναῖοι,Athenians,6,
152,101678852,",",",",6,
153,101678853,κεκαλλιεπημένους,adorned,6,
154,101678854,γε,indeed,6,
155,101678855,λόγους,speeches,6,
156,101678856,",",",",6,
157,101678857,ὥσπερ,just as,6,
158,101678858,οἱ,those,6,
159,101678859,τούτων,of these,6,
160,101678860,",",",",6,
161,101678861,ῥήμασί,words,6,
162,101678862,τε,and,6,
163,101678863,καὶ,and,6,
164,101678864,ὀνόμασιν,names,6,
165,101678865,οὐ,not,6,
166,101678866,-δὲ,and,6,
167,101678867,κεκοσμημένους,adorned,6,
168,101678868,",",",",6,
169,101678869,ἀλλ',but,6,
170,101678870,ἀκούσεσθε,you will hear,6,
171,101678871,εἰκῇ,randomly,6,
172,101678872,λεγόμενα,spoken,6,
173,101678873,τοῖς,the,6,
174,101678874,ἐπιτυχοῦσιν,that happen to be,6,
175,101678875,ὀνόμασιν,names,6,
176,101678876,—,—,6,
177,101678877,πιστεύω,I believe,6,
178,101678878,γὰρ,for,6,
179,101678879,δίκαια,just,6,
180,101678880,εἶναι,to be,6,
181,101678881,ἃ,what,6,
182,101678882,λέγω,say,6,
183,101678883,—,—,6,
184,101678884,καὶ,and,6,
185,101678885,μηδεὶς,no one,6,
186,101678886,ὑμῶν,of you,6,
187,101678887,προσδοκησάτω,let expect,6,
188,101678888,ἄλλως,otherwise,6,
189,101678889,.,.,6,
190,101678890,οὐ,not,7,
191,101678891,-δὲ,indeed,7,
192,101678892,γὰρ,for,7,
193,101678893,ἂν,would,7,
194,101678894,δήπου,surely,7,
195,101678895,πρέποι,would be fitting,7,
196,101678896,",",",",7,
197,101678897,ὦ,O,7,
198,101678898,ἄνδρες,men,7,
199,101678899,",",",",7,
200,101678900,τῇδε,this,7,
201,101678901,τῇ,the,7,
202,101678902,ἡλικίᾳ,age,7,
203,101678903,ὥσπερ,just as,7,
204,101678904,μειρακίῳ,youth,7,
205,101678905,πλάττοντι,forming,7,
206,101678906,λόγους,arguments,7,
207,101678907,εἰς,into,7,
208,101678908,ὑμᾶς,you,7,
209,101678909,εἰσιέναι,to enter,7,
210,101678910,.,.,7,
211,101678911,καὶ,and,8,
212,101678912,μέντοι,however,8,
213,101678913,καὶ,and,8,
214,101678914,πάνυ,very,8,
215,101678915,",",",",8,
216,101678916,ὦ,O,8,
217,101678917,ἄνδρες,men,8,
218,101678918,Ἀθηναῖοι,Athenians,8,
219,101678919,",",",",8,
220,101678920,τοῦτο,this,8,
221,101678921,ὑμῶν,you,8,
222,101678922,δέομαι,I beg,8,
223,101678923,καὶ,and,8,
224,101678924,παρίεμαι,I permit,8,
225,101678925,.,.,8,
226,101678926,ἐὰν,if,9,
227,101678927,διὰ,by,9,
228,101678928,τῶν,the,9,
229,101678929,αὐτῶν,same,9,
230,101678930,λόγων,speeches,9,
231,101678931,ἀκούητέ,you hear,9,
232,101678932,μου,of me,9,
233,101678933,ἀπολογουμένου,defending myself,9,
234,101678934,δι’,through,9,
235,101678935,ὧνπερ,through which,9,
236,101678936,εἴωθα,I am accustomed,9,
237,101678937,λέγειν,to say,9,
238,101678938,καὶ,and,9,
239,101678939,ἐν,in,9,
240,101678940,ἀγορᾷ,marketplace,9,
241,101678941,ἐπὶ,on,9,
242,101678942,τῶν,the,9,
243,101678943,τραπεζῶν,counters,9,
244,101678944,",",",",9,
245,101678945,ἵνα,so that,9,
246,101678946,ὑμῶν,of you,9,
247,101678947,πολλοὶ,many,9,
248,101678948,ἀκηκόασι,have heard,9,
249,101678949,",",",",9,
250,101678950,καὶ,and,9,
251,101678951,ἄλλοθι,elsewhere,9,
252,101678952,",",",",9,
253,101678953,μή,not,9,
254,101678954,-τε,and,9,
255,101678955,θαυμάζειν,to marvel,9,
256,101678956,μή,not,9,
257,101678957,-τε,and,9,
258,101678958,θορυβεῖν,to make a disturbance,9,
259,101678959,τούτου,this,9,
260,101678960,ἕνεκα,because of,9,
261,101678961,.,.,9,
262,101678962,ἔχει,has,10,
263,101678963,γὰρ,for,10,
264,101678964,οὑτωσί,thus,10,
265,101678965,.,.,10,
266,101678966,νῦν,now,11,
267,101678967,ἐγὼ,I,11,
268,101678968,πρῶτον,first,11,
269,101678969,ἐπὶ,in,11,
270,101678970,δικαστήριον,court,11,
271,101678971,ἀναβέβηκα,have climbed up,11,
272,101678972,",",",",11,
273,101678973,ἔτη,years,11,
274,101678974,γεγονὼς,being,11,
275,101678975,ἑβδομήκοντα,seventy,11,
276,101678976,.,.,11,
277,101678977,ἀτεχνῶς,artlessly,12,
278,101678978,οὖν,therefore,12,
279,101678979,ξένως,strangely,12,
280,101678980,ἔχω,I am,12,
281,101678981,τῆς,of the,12,
282,101678982,ἐνθάδε,here,12,
283,101678983,λέξεως,speech,12,
284,101678984,.,.,12,
285,101678985,ὥσπερ,just as,13,
286,101678986,οὖν,then,13,
287,101678987,ἄν,would,13,
288,101678988,",",",",13,
289,101678989,εἰ,if,13,
290,101678990,τῷ,the,13,
291,101678991,ὄντι,really,13,
292,101678992,ξένος,stranger,13,
293,101678993,ἐτύγχανον,I happened to be,13,
294,101678994,ὤν,being,13,
295,101678995,",",",",13,
296,101678996,συνεγιγνώσκετε,you would have recognized,13,
297,101678997,δήπου,surely,13,
298,101678998,ἄν,would,13,
299,101678999,μοι,to me,13,
300,101679000,εἰ,if,13,
301,101679001,ἐν,in,13,
302,101679002,ἐκείνῃ,that,13,
303,101679003,τῇ,the,13,
304,101679004,φωνῇ,voice,13,
305,101679005,τε,and,13,
306,101679006,καὶ,and,13,
307,101679007,τῷ,the,13,
308,101679008,τρόπῳ,manner,13,
309,101679009,ἔλεγον,I was saying,13,
310,101679010,ἐν,in,13,
311,101679011,οἷσπερ,where,13,
312,101679012,ἐτεθράμμην,I was brought up,13,
313,101679013,",",",",13,
314,101679014,καὶ,and,13,
315,101679015,δὴ,indeed,13,
316,101679016,καὶ,and,13,
317,101679017,νῦν,now,13,
318,101679018,τοῦτο,this,13,
319,101679019,ὑμῶν,you,13,
320,101679020,δέομαι,I request,13,
321,101679021,δίκαιον,just,13,
322,101679022,",",",",13,
323,101679023,ὥς,as,13,
324,101679024,γέ,indeed,13,
325,101679025,μοι,to me,13,
326,101679026,δοκῶ,it seems,13,
327,101679027,",",",",13,
328,101679028,τὸν,the,13,
329,101679029,μὲν,indeed,13,
330,101679030,τρόπον,manner,13,
331,101679031,τῆς,of the,13,
332,101679032,λέξεως,speech,13,
333,101679033,ἐᾶν,let,13,
334,101679034,—,—,13,
335,101679035,ἴσως,perhaps,13,
336,101679036,μὲν,on the one hand,13,
337,101679037,γὰρ,for,13,
338,101679038,χείρων,worse,13,
339,101679039,",",",",13,
340,101679040,ἴσως,perhaps,13,
341,101679041,δὲ,but,13,
342,101679042,βελτίων,better,13,
343,101679043,ἂν,would,13,
344,101679044,εἴη,were,13,
345,101679045,—,—,13,
346,101679046,αὐτὸ,this very,13,
347,101679047,δὲ,but,13,
348,101679048,τοῦτο,this,13,
349,101679049,σκοπεῖν,to examine,13,
350,101679050,καὶ,and,13,
351,101679051,τούτῳ,this,13,
352,101679052,τὸν,the,13,
353,101679053,νοῦν,mind,13,
354,101679054,προσέχειν,to pay attention,13,
355,101679055,",",",",13,
356,101679056,εἰ,if,13,
357,101679057,δίκαια,just things,13,
358,101679058,λέγω,say,13,
359,101679059,ἢ,or,13,
360,101679060,μή,or not,13,
361,101679061,.,.,13,
362,101679062,δικαστοῦ,of a juror,14,
363,101679063,μὲν,indeed,14,
364,101679064,γὰρ,for,14,
365,101679065,αὕτη,this,14,
366,101679066,ἀρετή,virtue,14,
367,101679067,",",",",14,
368,101679068,ῥήτορος,of an orator,14,
369,101679069,δὲ,but,14,
370,101679070,τα-,the,14,
371,101679071,τἀληθῆ,true,14,
372,101679072,λέγειν,to speak,14,
373,101679073,.,.,14,
374,101679074,πρῶτον,first,15,
375,101679075,μὲν,indeed,15,
376,101679076,οὖν,therefore,15,
377,101679077,δίκαιός,righteous,15,
378,101679078,εἰμι,am,15,
379,101679079,ἀπολογήσασθαι,to make a defense,15,
380,101679080,",",",",15,
381,101679081,ὦ,O,15,
382,101679082,ἄνδρες,men,15,
383,101679083,Ἀθηναῖοι,Athenians,15,
384,101679084,",",",",15,
385,101679085,πρὸς,before,15,
386,101679086,τὰ,the,15,
387,101679087,πρῶτά,first,15,
388,101679088,μου,my,15,
389,101679089,ψευδῆ,falsehoods,15,
390,101679090,κατηγορημένα,brought against me,15,
391,101679091,καὶ,and,15,
392,101679092,τοὺς,the,15,
393,101679093,πρώτους,first,15,
394,101679094,κατηγόρους,accusers,15,
395,101679095,",",",",15,
396,101679096,ἔπειτα,then,15,
397,101679097,δὲ,but,15,
398,101679098,πρὸς,against,15,
399,101679099,τὰ,the,15,
400,101679100,ὕστερον,later,15,
401,101679101,καὶ,and,15,
402,101679102,τοὺς,the,15,
403,101679103,ὑστέρους,later,15,
404,101679104,.,.,15,
405,101679105,ἐμοῦ,my,16,
406,101679106,γὰρ,for,16,
407,101679107,πολλοὶ,many,16,
408,101679108,κατήγοροι,accusers,16,
409,101679109,γεγόνασι,have become,16,
410,101679110,πρὸς,before,16,
411,101679111,ὑμᾶς,you,16,
412,101679112,καὶ,and,16,
413,101679113,πάλαι,long ago,16,
414,101679114,πολλὰ,many,16,
415,101679115,ἤδη,already,16,
416,101679116,ἔτη,years,16,
417,101679117,καὶ,and,16,
418,101679118,οὐδὲν,nothing,16,
419,101679119,ἀληθὲς,true,16,
420,101679120,λέγοντες,saying,16,
421,101679121,",",",",16,
422,101679122,οὓς,whom,16,
423,101679123,ἐγὼ,I,16,
424,101679124,μᾶλλον,more,16,
425,101679125,φοβοῦμαι,fear,16,
426,101679126,ἢ,than,16,
427,101679127,τοὺς,those,16,
428,101679128,ἀμφὶ,about,16,
429,101679129,Ἄνυτον,Anytus,16,
430,101679130,",",",",16,
431,101679131,καίπερ,although,16,
432,101679132,ὄντας,being,16,
433,101679133,καὶ,and,16,
434,101679134,τούτους,these,16,
435,101679135,δεινούς,fearsome,16,
436,101679136,.,.,16,
437,101679137,ἀλλ',But,17,
438,101679138,ἐκεῖνοι,those,17,
439,101679139,δεινότεροι,more dangerous,17,
440,101679140,",",",",17,
441,101679141,ὦ,O,17,
442,101679142,ἄνδρες,gentlemen,17,
443,101679143,",",",",17,
444,101679144,οἳ,those,17,
445,101679145,ὑμῶν,your,17,
446,101679146,τοὺς,the,17,
447,101679147,πολλοὺς,many,17,
448,101679148,ἐκ,from,17,
449,101679149,παίδων,children,17,
450,101679150,παραλαμβάνοντες,taking,17,
451,101679151,ἔπειθόν,persuaded,17,
452,101679152,τε,and,17,
453,101679153,καὶ,and,17,
454,101679154,κατηγόρουν,were accusing,17,
455,101679155,ἐμοῦ,of me,17,
456,101679156,μᾶλλον,more,17,
457,101679157,οὐδὲν,nothing,17,
458,101679158,ἀληθές,true,17,
459,101679159,",",",",17,
460,101679160,ὡς,as,17,
461,101679161,ἔστιν,is,17,
462,101679162,τις,a,17,
463,101679163,Σωκράτης,Socrates,17,
464,101679164,σοφὸς,wise,17,
465,101679165,ἀνήρ,man,17,
466,101679166,",",",",17,
467,101679167,τά,the,17,
468,101679168,τε,and,17,
469,101679169,μετέωρα,celestial,17,
470,101679170,φροντιστὴς,inquirer,17,
471,101679171,καὶ,and,17,
472,101679172,τὰ,the,17,
473,101679173,ὑπὸ,under,17,
474,101679174,γῆς,earth,17,
475,101679175,πάντα,everything,17,
476,101679176,ἀνεζητηκὼς,having investigated,17,
477,101679177,καὶ,and,17,
478,101679178,τὸν,the,17,
479,101679179,ἥττω,weaker,17,
480,101679180,λόγον,argument,17,
481,101679181,κρείττω,stronger,17,
482,101679182,ποιῶν,making,17,
483,101679183,.,.,17,
484,101679184,οὗτοι,these,18,
485,101679185,",",",",18,
486,101679186,ὦ,O,18,
487,101679187,ἄνδρες,men,18,
488,101679188,Ἀθηναῖοι,Athenians,18,
489,101679189,",",",",18,
490,101679190,οἱ,the,18,
491,101679191,ταύτην,this,18,
492,101679192,τὴν,this,18,
493,101679193,φήμην,report,18,
494,101679194,κατασκεδάσαντες,having spread,18,
495,101679195,",",",",18,
496,101679196,οἱ,the,18,
497,101679197,δεινοί,clever,18,
498,101679198,εἰσίν,are,18,
499,101679199,μου,my,18,
500,101679200,κατήγοροι,accusers,18,
501,101679201,.,.,18,
502,101679202,οἱ,those,19,
503,101679203,γὰρ,for,19,
504,101679204,ἀκούοντες,those hearing,19,
505,101679205,ἡγοῦνται,they think,19,
506,101679206,τοὺς,the,19,
507,101679207,ταῦτα,these things,19,
508,101679208,ζητοῦντας,those who seek,19,
509,101679209,οὐ,not,19,
510,101679210,-δὲ,indeed,19,
511,101679211,θεοὺς,gods,19,
512,101679212,νομίζειν,to believe,19,
513,101679213,.,.,19,
514,101679214,ἔπειτά,then,20,
515,101679215,εἰσιν,are,20,
516,101679216,οὗτοι,these,20,
517,101679217,οἱ,the,20,
518,101679218,κατήγοροι,accusers,20,
519,101679219,πολλοὶ,many,20,
520,101679220,καὶ,and,20,
521,101679221,πολὺν,much,20,
522,101679222,χρόνον,time,20,
523,101679223,ἤδη,already,20,
524,101679224,κατηγορηκότες,having accused,20,
525,101679225,",",",",20,
526,101679226,ἔτι,furthermore,20,
527,101679227,δὲ,but,20,
528,101679228,καὶ,even,20,
529,101679229,ἐν,in,20,
530,101679230,ταύτῃ,this,20,
531,101679231,τῇ,the,20,
532,101679232,ἡλικίᾳ,age,20,
533,101679233,λέγοντες,saying,20,
534,101679234,πρὸς,to,20,
535,101679235,ὑμᾶς,you,20,
536,101679236,ἐν,in,20,
537,101679237,ᾗ,which,20,
538,101679238,ἂν,would,20,
539,101679239,μάλιστα,most,20,
540,101679240,ἐπιστεύσατε,you trusted,20,
541,101679241,",",",",20,
542,101679242,παῖδες,children,20,
543,101679243,ὄντες,being,20,
544,101679244,ἔνιοι,some,20,
545,101679245,ὑμῶν,of you,20,
546,101679246,καὶ,and,20,
547,101679247,μειράκια,young men,20,
548,101679248,",",",",20,
549,101679249,ἀτεχνῶς,unskilfully,20,
550,101679250,ἐρήμην,desolate,20,
551,101679251,κατηγοροῦντες,accusing,20,
552,101679252,ἀπολογουμένου,of defending,20,
553,101679253,οὐδενός,of no one,20,
554,101679254,.,.,20,
555,101679255,ὃ,the,21,
556,101679256,δὲ,but,21,
557,101679257,πάντων,of all,21,
558,101679258,ἀλογώτατον,most unreasonable,21,
559,101679259,",",",",21,
560,101679260,ὅτι,that,21,
561,101679261,οὐ,not,21,
562,101679262,-δὲ,,21,
563,101679263,τὰ,the,21,
564,101679264,ὀνόματα,names,21,
565,101679265,οἷόν,possible,21,
566,101679266,τε,and,21,
567,101679267,αὐτῶν,their,21,
568,101679268,εἰδέναι,to know,21,
569,101679269,καὶ,and,21,
570,101679270,εἰπεῖν,to say,21,
571,101679271,",",",",21,
572,101679272,πλὴν,except,21,
573,101679273,εἴ,if,21,
574,101679274,τις,someone,21,
575,101679275,κωμῳδοποιὸς,comedian,21,
576,101679276,τυγχάνει,happens to be,21,
577,101679277,ὤν,being,21,
578,101679278,.,.,21,
579,101679279,ὅσοι,as many as,22,
580,101679280,δὲ,but,22,
581,101679281,φθόνῳ,envy,22,
582,101679282,καὶ,and,22,
583,101679283,διαβολῇ,slander,22,
584,101679284,χρώμενοι,using,22,
585,101679285,ὑμᾶς,you,22,
586,101679286,ἀνέπειθον,they persuaded,22,
587,101679287,—,—,22,
588,101679288,οἱ,those,22,
589,101679289,δὲ,but,22,
590,101679290,καὶ,and,22,
591,101679291,αὐτοὶ,themselves,22,
592,101679292,πεπεισμένοι,being persuaded,22,
593,101679293,ἄλλους,others,22,
594,101679294,πείθοντες,persuading,22,
595,101679295,—,—,22,
596,101679296,οὗτοι,these,22,
597,101679297,πάντες,all,22,
598,101679298,ἀπορώτατοί,most perplexing,22,
599,101679299,εἰσιν,are,22,
600,101679300,.,.,22,
601,101679301,οὐ,not,23,
602,101679302,-δὲ,also,23,
603,101679303,γὰρ,for,23,
604,101679304,ἀναβιβάσασθαι,to bring up,23,
605,101679305,οἷόν,possible,23,
606,101679306,τ’,and,23,
607,101679307,ἐστὶν,it is,23,
608,101679308,αὐτῶν,of them,23,
609,101679309,ἐνταυθοῖ,here,23,
610,101679310,οὐ,not,23,
611,101679311,-δ’,and,23,
612,101679312,ἐλέγξαι,to expose,23,
613,101679313,οὐδένα,anyone,23,
614,101679314,",",",",23,
615,101679315,ἀλλ’,but,23,
616,101679316,ἀνάγκη,necessity,23,
617,101679317,ἀτεχνῶς,unskillfully,23,
618,101679318,ὥσπερ,just as,23,
619,101679319,σκιαμαχεῖν,to fight with shadows,23,
620,101679320,ἀπολογούμενόν,defending,23,
621,101679321,τε,and,23,
622,101679322,καὶ,and,23,
623,101679323,ἐλέγχειν,to cross-examine,23,
624,101679324,μηδενὸς,of no one,23,
625,101679325,ἀποκρινομένου,answering,23,
626,101679326,.,.,23,
627,101679327,ἀξιώσατε,consider,24,
628,101679328,οὖν,then,24,
629,101679329,καὶ,and,24,
630,101679330,ὑμεῖς,you,24,
631,101679331,",",",",24,
632,101679332,ὥσπερ,just as,24,
633,101679333,ἐγὼ,I,24,
634,101679334,λέγω,say,24,
635,101679335,",",",",24,
636,101679336,διττούς,two,24,
637,101679337,μου,my,24,
638,101679338,τοὺς,the,24,
639,101679339,κατηγόρους,accusers,24,
640,101679340,γεγονέναι,to have become,24,
641,101679341,",",",",24,
642,101679342,ἑτέρους,other,24,
643,101679343,μὲν,on the one hand,24,
644,101679344,τοὺς,the,24,
645,101679345,ἄρτι,just now,24,
646,101679346,κατηγορήσαντας,having accused,24,
647,101679347,",",",",24,
648,101679348,ἑτέρους,others,24,
649,101679349,δὲ,but,24,
650,101679350,τοὺς,the,24,
651,101679351,πάλαι,long ago,24,
652,101679352,οὓς,whom,24,
653,101679353,ἐγὼ,I,24,
654,101679354,λέγω,I say,24,
655,101679355,",",",",24,
656,101679356,καὶ,and,24,
657,101679357,οἰήθητε,think,24,
658,101679358,δεῖν,to think,24,
659,101679359,πρὸς,to,24,
660,101679360,ἐκείνους,those,24,
661,101679361,πρῶτόν,first,24,
662,101679362,με,me,24,
663,101679363,ἀπολογήσασθαι,to defend myself,24,
664,101679364,.,.,24,
665,101679365,καὶ,for,25,
666,101679366,γὰρ,for,25,
667,101679367,ὑμεῖς,you,25,
668,101679368,ἐκείνων,of those,25,
669,101679369,πρότερον,earlier,25,
670,101679370,ἠκούσατε,you heard,25,
671,101679371,κατηγορούντων,accusing,25,
672,101679372,καὶ,and,25,
673,101679373,πολὺ,much,25,
674,101679374,μᾶλλον,more,25,
675,101679375,ἢ,than,25,
676,101679376,τῶνδε,these,25,
677,101679377,τῶν,of the,25,
678,101679378,ὕστερον,later,25,
679,101679379,.,.,25,
680,101679380,εἶεν,let there be,26,
681,101679381,.,.,26,
682,101679382,ἀπολογητέον,it must be defended,27,
683,101679383,δή,indeed,27,
684,101679384,",",",",27,
685,101679385,ὦ,O,27,
686,101679386,ἄνδρες,men,27,
687,101679387,Ἀθηναῖοι,Athenians,27,
688,101679388,",",",",27,
689,101679389,καὶ,and,27,
690,101679390,ἐπιχειρητέον,must attempt,27,
691,101679391,ὑμῶν,you,27,
692,101679392,ἐξελέσθαι,to remove,27,
693,101679393,τὴν,the,27,
694,101679394,διαβολὴν,defamation,27,
695,101679395,ἣν,which,27,
696,101679396,ὑμεῖς,you,27,
697,101679397,ἐν,in,27,
698,101679398,πολλῷ,much,27,
699,101679399,χρόνῳ,time,27,
700,101679400,ἔσχετε,have,27,
701,101679401,ταύτην,this,27,
702,101679402,ἐν,in,27,
703,101679403,οὕτως,so,27,
704,101679404,ὀλίγῳ,short,27,
705,101679405,χρόνῳ,time,27,
706,101679406,.,.,27,
707,101679407,βουλοίμην,I would wish,28,
708,101679408,μὲν,indeed,28,
709,101679409,οὖν,then,28,
710,101679410,ἂν,would,28,
711,101679411,τοῦτο,this,28,
712,101679412,οὕτως,so,28,
713,101679413,γενέσθαι,to become,28,
714,101679414,",",",",28,
715,101679415,εἴ,if,28,
716,101679416,τι,something,28,
717,101679417,ἄμεινον,better,28,
718,101679418,καὶ,and,28,
719,101679419,ὑμῖν,to you,28,
720,101679420,καὶ,and,28,
721,101679421,ἐμοί,for me,28,
722,101679422,",",",",28,
723,101679423,καὶ,and,28,
724,101679424,πλέον,more,28,
725,101679425,τί,something,28,
726,101679426,με,me,28,
727,101679427,ποιῆσαι,make,28,
728,101679428,ἀπολογούμενον,making a defense,28,
729,101679429,.,.,28,
730,101679430,οἶμαι,I think,29,
731,101679431,δὲ,but,29,
732,101679432,αὐτὸ,him,29,
733,101679433,χαλεπὸν,difficult,29,
734,101679434,εἶναι,to be,29,
735,101679435,",",",",29,
736,101679436,καὶ,and,29,
737,101679437,οὐ,not,29,
738,101679438,πάνυ,very,29,
739,101679439,με,me,29,
740,101679440,λανθάνει,escapes me,29,
741,101679441,οἷόν,such,29,
742,101679442,ἐστιν,is,29,
743,101679443,.,.,29,
744,101679444,ὅμως,however,30,
745,101679445,τοῦτο,this,30,
746,101679446,μὲν,indeed,30,
747,101679447,ἴτω,let it go,30,
748,101679448,ὅπῃ,wherever,30,
749,101679449,τῷ,the,30,
750,101679450,θεῷ,god,30,
751,101679451,φίλον,dear,30,
752,101679452,",",",",30,
753,101679453,τῷ,the,30,
754,101679454,δὲ,but,30,
755,101679455,νόμῳ,the law,30,
756,101679456,πειστέον,must be obeyed,30,
757,101679457,καὶ,and,30,
758,101679458,ἀπολογητέον,must be defended,30,
759,101679459,.,.,30,
760,101679460,ἀναλάβωμεν,let us take up,31,
761,101679461,οὖν,then,31,
762,101679462,ἐξ,from,31,
763,101679463,ἀρχῆς,beginning,31,
764,101679464,τίς,what,31,
765,101679465,ἡ,the,31,
766,101679466,κατηγορία,accusation,31,
767,101679467,ἐστὶν,is,31,
768,101679468,ἐξ,from,31,
769,101679469,ἧς,from which,31,
770,101679470,ἡ,the,31,
771,101679471,ἐμὴ,my,31,
772,101679472,διαβολὴ,slander,31,
773,101679473,γέγονεν,has occurred,31,
774,101679474,",",",",31,
775,101679475,ᾗ,him,31,
776,101679476,δὴ,indeed,31,
